Time,data
1715272154.7385056,-1.87890625
1715272154.7483046,-1.58203125
1715272154.7585168,-1.6796875
1715272154.7684546,-1.78125
1715272154.778277,-1.78125
1715272154.788374,-1.78125
1715272154.7982447,-1.78125
1715272154.808201,-1.6796875
1715272154.8182955,-1.58203125
1715272154.8280327,-1.78125
1715272154.838285,-1.9765625
1715272154.8480449,-2.17578125
1715272154.8581927,-1.87890625
1715272154.8681526,-1.58203125
1715272154.8783462,-1.9765625
1715272154.887939,-1.58203125
1715272154.8979108,-1.9765625
1715272154.9081209,-1.484375
1715272154.9177601,-1.78125
1715272154.9277782,-1.9765625
1715272154.9379916,-1.9765625
1715272154.947675,-1.58203125
1715272154.9581592,-1.87890625
1715272154.9679856,-1.87890625
1715272154.977868,-1.78125
1715272154.9877346,-1.6796875
1715272154.9976633,-1.78125
1715272155.0077224,-1.87890625
1715272155.0176795,-1.78125
1715272155.0277953,-1.87890625
1715272155.0376499,-1.87890625
1715272155.047704,-1.38671875
1715272155.0581026,-1.87890625
1715272155.0678387,-1.6796875
1715272155.0778909,-1.58203125
1715272155.087673,-1.38671875
1715272155.0978,-1.58203125
1715272155.107935,-2.078125
1715272155.1178477,-1.9765625
1715272155.1278365,-1.78125
1715272155.1377416,-2.17578125
1715272155.1478128,-1.78125
1715272155.1582556,-1.9765625
1715272155.1677673,-1.87890625
1715272155.1779368,-1.9765625
1715272155.1876569,-1.9765625
1715272155.197683,-2.078125
1715272155.2078574,-2.17578125
1715272155.2176719,-1.484375
1715272155.2276676,-2.17578125
1715272155.2376642,-1.78125
1715272155.24771,-1.78125
1715272155.2580035,-1.9765625
1715272155.2677152,-1.58203125
1715272155.2780995,-1.87890625
1715272155.2877002,-1.87890625
1715272155.2977307,-1.6796875
1715272155.3076818,-1.87890625
1715272155.3177354,-1.58203125
1715272155.3276672,-1.9765625
1715272155.3376994,-2.17578125
1715272155.3477197,-1.9765625
1715272155.3582494,-1.6796875
1715272155.3677123,-2.17578125
1715272155.3782058,-2.078125
1715272155.3876708,-1.87890625
1715272155.397935,-1.58203125
1715272155.4077191,-1.78125
1715272155.4177108,-1.6796875
1715272155.4279342,-1.6796875
1715272155.437731,-2.17578125
1715272155.4477305,-1.9765625
1715272155.458076,-1.87890625
1715272155.4676921,-1.6796875
1715272155.478177,-1.9765625
1715272155.4876661,-1.78125
1715272155.4977186,-1.78125
1715272155.5077002,-2.17578125
1715272155.51939,-1.78125
1715272155.527773,-1.58203125
1715272155.53787,-1.58203125
1715272155.5479186,-2.078125
1715272155.5584013,-1.9765625
1715272155.5679138,-1.78125
1715272155.5783188,-1.9765625
1715272155.5877352,-1.87890625
1715272155.597812,-1.78125
1715272155.6077442,-1.87890625
1715272155.6177597,-1.9765625
1715272155.627757,-1.9765625
1715272155.6378808,-1.78125
1715272155.647907,-1.78125
1715272155.661963,-1.87890625
1715272155.667932,-1.58203125
1715272155.678617,-1.6796875
1715272155.6878617,-1.6796875
1715272155.6978467,-2.078125
1715272155.7080395,-1.87890625
1715272155.7179403,-1.9765625
1715272155.7279992,-1.9765625
1715272155.7379746,-1.78125
1715272155.7479928,-1.9765625
1715272155.75832,-1.87890625
1715272155.7680721,-1.78125
1715272155.7788265,-1.58203125
1715272155.7880766,-1.9765625
1715272155.798082,-1.6796875
1715272155.808349,-2.078125
1715272155.818144,-1.6796875
1715272155.8280692,-1.87890625
1715272155.8382277,-1.78125
1715272155.8483198,-1.78125
1715272155.8584075,-1.6796875
1715272155.8681288,-1.9765625
1715272155.877765,-1.78125
1715272155.8882015,-1.78125
1715272155.8978753,-1.87890625
1715272155.907838,-1.6796875
1715272155.9178388,-1.9765625
1715272155.927779,-1.9765625
1715272155.9383109,-1.78125
1715272155.9482234,-1.78125
1715272155.9584517,-2.17578125
1715272155.9679995,-1.78125
1715272155.9782488,-1.78125
1715272155.9879916,-1.9765625
1715272155.9978714,-1.78125
1715272156.0079062,-1.78125
1715272156.0179315,-1.78125
1715272156.0277925,-1.78125
1715272156.0380797,-1.78125
1715272156.0479004,-1.78125
1715272156.0587032,-1.9765625
1715272156.0679934,-1.78125
1715272156.078022,-1.78125
1715272156.0880258,-1.78125
1715272156.097952,-2.2734375
1715272156.1080604,-1.6796875
1715272156.1180587,-1.87890625
1715272156.127862,-1.87890625
1715272156.1378696,-1.6796875
1715272156.1481094,-2.078125
1715272156.1584988,-1.9765625
1715272156.1680763,-1.6796875
1715272156.1780112,-1.38671875
1715272156.1879067,-1.78125
1715272156.1981437,-1.78125
1715272156.2080202,-1.78125
1715272156.218027,-1.87890625
1715272156.2280009,-1.6796875
1715272156.238067,-1.78125
1715272156.2480998,-2.078125
1715272156.258474,-1.78125
1715272156.2680101,-1.87890625
1715272156.2781348,-1.78125
1715272156.287983,-1.6796875
1715272156.2979386,-1.78125
1715272156.3079126,-1.78125
1715272156.3181732,-1.87890625
1715272156.3278892,-1.9765625
1715272156.3380828,-1.9765625
1715272156.3480518,-1.9765625
1715272156.3584354,-1.78125
1715272156.368273,-1.9765625
